iter	RMSE
0	0.8908213934
1	0.8452274328
2	0.8064969203
3	0.7738848692
4	0.7467788845
5	0.7230246907
6	0.7022271097
7	0.6832969847
8	0.6684528691
9	0.6553495051
10	0.6454134236
11	0.6353451769
12	0.6278756776
13	0.6208079688
14	0.6163100417
15	0.6119270337
16	0.6073151306
17	0.6040308661
18	0.6010498115
19	0.5986841687
20	0.595999666
21	0.5946036066
22	0.5925892994
23	0.5912373597
24	0.5897038069
25	0.5883121937
26	0.5873552307
27	0.586675253
28	0.5859541717
29	0.5852079367
30	0.584256125
31	0.5837151785
32	0.5829964031
33	0.5826165763
34	0.582296281
35	0.5819309741
36	0.5815377714
37	0.5814345886
38	0.5811004116
39	0.5809549175
40	0.5807819083
41	0.5807806808
42	0.5805790197
43	0.5802886066
44	0.5800671661
45	0.579796611
46	0.5796452204
47	0.5793697502
48	0.5793021707
49	0.5792089554
50	0.5788696035
51	0.5787415747
52	0.578448214
53	0.5782288351
54	0.5781073475
55	0.5778791187
56	0.5777442351
57	0.5774931183
58	0.5773050278
59	0.5770997276
60	0.577098479
61	0.5770228697
62	0.5768967417
63	0.5768889251
64	0.576728298
65	0.5764797701
66	0.5761715794
67	0.5758822161
68	0.5758242475
69	0.5753088325
70	0.5750623077
71	0.5746516298
72	0.5744671639
73	0.5743364582
74	0.57415546
75	0.5738121248
76	0.5735497349
77	0.5733836906
78	0.5732669147
79	0.5729898451
80	0.5725966535
81	0.5724559503
82	0.5723337357
83	0.5720751995
84	0.5719955634
85	0.5717943842
86	0.571550463
87	0.5713522363
88	0.5708531684
89	0.5703955522
90	0.5703498914
91	0.5701185173
92	0.5699944341
93	0.5698566291
94	0.5694648244
95	0.5692657939
96	0.5689142848
97	0.5688154686
98	0.5687380694
99	0.5684183926
100	0.568210806
101	0.5679085445
102	0.5675949934
103	0.5669403661
104	0.5666521111
105	0.5662514978
106	0.5661499146
107	0.5657538121
108	0.5655411488
109	0.5654188643
110	0.5647530289
111	0.5644854021
112	0.5643347718
113	0.5642062264
114	0.5640991534
115	0.5639401491
116	0.5637520797
117	0.5636550731
118	0.5634544332
119	0.5632160935
120	0.5629058903
121	0.5626458392
122	0.5621570195
123	0.5620191161
124	0.5613866599
125	0.5611826887
126	0.5605696588
127	0.5604704726
128	0.5604269118
129	0.5603840404
130	0.5601557617
131	0.5596947972
132	0.559186717
133	0.5585551787
134	0.5581672702
135	0.5579630711
136	0.5577190778
137	0.5574697031
138	0.5570885477
139	0.5570609902
140	0.5568925736
141	0.55669577
142	0.5565209513
143	0.5563012989
144	0.5561057427
145	0.5556550939
146	0.5555705081
147	0.5554579771
148	0.555298514
149	0.5552506423
150	0.5549415224
151	0.5547205588
152	0.5543078989
153	0.5541799936
154	0.5536178881
155	0.5534158806
156	0.5530642688
157	0.5528215979
158	0.5525009663
159	0.5523023241
160	0.551777999
161	0.5517070879
162	0.5514829984
163	0.5510417119
164	0.550674171
165	0.5502583258
166	0.5498985096
167	0.54970405
168	0.54906091
