iter	Passed	Remaining
0	21	21578
1	43	21537
2	56	18888
3	67	16765
4	80	16052
5	94	15730
6	111	15765
7	127	15782
8	142	15685
9	159	15758
10	177	15921
11	193	15959
12	209	15880
13	225	15867
14	239	15715
15	256	15756
16	271	15685
17	311	17014
18	337	17400
19	353	17309
20	366	17088
21	377	16783
22	393	16730
23	407	16577
24	420	16388
25	435	16301
26	449	16207
27	464	16112
28	478	16033
29	492	15908
30	507	15859
31	516	15622
32	526	15428
33	541	15392
34	555	15309
35	572	15341
36	590	15363
37	596	15099
38	611	15073
39	627	15065
40	642	15032
41	657	14991
42	667	14857
43	680	14788
44	697	14799
45	708	14696
46	721	14624
47	736	14598
48	742	14403
49	757	14393
50	778	14488
51	801	14616
52	818	14631
53	831	14568
54	847	14564
55	863	14554
56	876	14503
57	889	14441
58	900	14364
59	915	14345
60	928	14288
61	945	14302
62	953	14183
63	966	14136
64	983	14142
65	997	14116
66	1013	14118
67	1021	14003
68	1035	13969
69	1050	13958
70	1066	13948
71	1072	13820
72	1086	13800
73	1101	13782
74	1115	13755
75	1131	13755
76	1147	13752
77	1162	13741
78	1168	13624
79	1185	13633
80	1199	13613
81	1213	13587
82	1228	13577
83	1244	13566
84	1265	13617
85	1280	13605
86	1293	13578
87	1308	13560
88	1324	13560
89	1340	13554
90	1358	13572
91	1374	13565
92	1392	13581
93	1407	13565
94	1421	13542
95	1435	13515
96	1449	13497
97	1467	13502
98	1488	13543
99	1503	13532
100	1519	13520
101	1534	13511
102	1550	13502
103	1568	13514
104	1585	13517
105	1601	13504
106	1615	13484
107	1633	13489
108	1651	13498
109	1665	13478
110	1681	13469
111	1697	13459
112	1713	13451
113	1731	13453
114	1749	13461
115	1772	13506
116	1789	13507
117	1803	13480
118	1817	13458
119	1833	13442
120	1847	13418
121	1860	13391
122	1874	13365
123	1890	13357
124	1908	13358
125	1922	13333
126	1934	13300
127	1950	13284
128	1964	13261
129	1978	13243
130	1995	13234
131	2008	13210
132	2022	13185
133	2042	13197
134	2061	13208
135	2078	13203
136	2094	13193
137	2112	13192
138	2129	13190
139	2143	13165
140	2159	13156
141	2176	13149
142	2192	13137
143	2208	13128
144	2228	13140
145	2259	13217
146	2287	13271
147	2303	13259
148	2319	13249
149	2336	13242
150	2354	13236
151	2370	13226
152	2391	13241
153	2409	13238
154	2427	13231
155	2445	13232
156	2462	13224
157	2478	13206
158	2493	13187
159	2509	13176
160	2529	13179
161	2545	13167
162	2563	13164
163	2578	13145
164	2596	13139
165	2618	13154
166	2635	13144
167	2653	13140
168	2671	13134
169	2688	13124
170	2704	13110
171	2719	13090
172	2735	13074
173	2750	13055
174	2764	13034
175	2782	13027
176	2800	13020
177	2816	13004
178	2830	12982
179	2846	12968
180	2861	12945
181	2877	12934
182	2896	12929
183	2915	12929
184	2932	12920
185	2950	12912
186	2970	12915
187	2989	12912
188	3007	12907
189	3025	12897
190	3044	12897
191	3066	12902
192	3082	12888
193	3101	12884
194	3116	12866
195	3132	12850
196	3149	12836
197	3170	12842
198	3197	12871
199	3225	12902
200	3245	12903
201	3272	12926
202	3293	12929
203	3312	12926
204	3334	12929
205	3357	12940
206	3380	12951
207	3406	12969
208	3434	12999
209	3468	13047
210	3497	13077
211	3514	13063
212	3530	13045
213	3548	13031
214	3565	13017
215	3582	13004
216	3602	12997
217	3620	12986
218	3640	12983
219	3658	12971
220	3678	12965
221	3694	12948
222	3712	12934
223	3730	12924
224	3751	12921
225	3773	12924
226	3799	12939
227	3818	12928
228	3839	12925
229	3859	12919
230	3877	12909
231	3896	12899
232	3913	12883
233	3932	12871
234	3949	12857
235	3966	12841
236	3987	12838
237	4008	12833
238	4030	12833
239	4061	12861
240	4079	12849
241	4096	12829
242	4112	12810
243	4127	12788
244	4152	12796
245	4190	12844
246	4213	12843
247	4232	12834
248	4256	12839
249	4277	12832
250	4295	12818
251	4315	12810
252	4333	12795
253	4352	12783
254	4371	12770
255	4388	12753
256	4405	12736
257	4421	12717
258	4443	12713
259	4460	12694
260	4478	12680
261	4494	12659
262	4511	12642
263	4529	12627
264	4545	12608
265	4562	12590
266	4580	12574
267	4596	12554
268	4613	12536
269	4630	12520
270	4655	12522
271	4673	12509
272	4692	12497
273	4717	12500
274	4738	12491
275	4755	12474
276	4774	12460
277	4793	12450
278	4812	12436
279	4829	12419
280	4849	12408
281	4871	12402
282	4889	12388
283	4904	12363
284	4918	12340
285	4936	12323
286	4955	12311
287	4974	12297
288	4990	12278
289	5007	12258
290	5024	12241
291	5041	12224
292	5058	12206
293	5076	12189
294	5097	12181
295	5115	12165
296	5135	12154
297	5157	12148
298	5172	12127
299	5195	12123
300	5218	12118
301	5242	12116
302	5261	12103
303	5279	12086
304	5295	12066
305	5310	12043
306	5327	12024
307	5341	12001
308	5358	11982
309	5374	11961
310	5389	11941
311	5409	11929
312	5427	11913
313	5443	11891
314	5460	11875
315	5476	11853
316	5493	11835
317	5509	11815
318	5524	11793
319	5538	11768
320	5552	11744
321	5566	11720
322	5582	11701
323	5609	11703
324	5629	11691
325	5647	11677
326	5672	11675
327	5715	11709
328	5749	11725
329	5770	11716
330	5794	11712
331	5820	11710
332	5841	11699
333	5861	11688
334	5880	11673
335	5898	11656
336	5918	11644
337	5937	11628
338	5955	11612
339	5975	11599
340	5993	11583
341	6014	11572
342	6032	11554
343	6048	11535
344	6067	11519
345	6083	11499
346	6099	11477
347	6115	11457
348	6129	11434
349	6145	11413
350	6164	11397
351	6180	11377
352	6197	11358
353	6215	11341
354	6231	11322
355	6250	11306
356	6272	11297
357	6290	11280
358	6306	11261
359	6327	11249
360	6348	11236
361	6365	11219
362	6388	11210
363	6407	11195
364	6429	11185
365	6447	11168
366	6463	11148
367	6487	11141
368	6505	11124
369	6530	11120
370	6549	11104
371	6566	11086
372	6583	11065
373	6598	11044
374	6612	11021
375	6627	10999
376	6641	10975
377	6656	10953
378	6678	10942
379	6699	10930
380	6720	10918
381	6738	10901
382	6754	10880
383	6771	10861
384	6788	10843
385	6809	10831
386	6831	10820
387	6847	10801
388	6863	10781
389	6881	10762
390	6895	10739
391	6910	10718
392	6925	10696
393	6943	10678
394	6957	10655
395	6970	10632
396	6985	10609
397	7002	10591
398	7020	10574
399	7038	10557
400	7056	10540
401	7070	10517
402	7086	10497
403	7104	10481
